"GSA_Name","Number of cities","City names","Number of DAC places","DAC names","Number of Community Water Systems (CWSs)","CWS names","Number of Public Water Systems (PWSs)","PWS names","Number of Public Supply Wells"
"North Kings GSA",3,"Clovis city, Fresno city, Kerman city",9,"Friant CDP, Fort Washington CDP, Fresno city, Kerman city, Biola CDP, Calwa CDP, Malaga CDP, Mayfair CDP, West Park CDP",32,"FCSA #10/CUMORAH KNOLLS, FCWWD #18/FRIANT, MALAGA COUNTY WATER DISTRICT, CITY OF FRESNO, BELMONT WATER CORPORATION, FCSA #10A/MANSIONETTE ESTATES, PAPPAS & CO (MENDOTA), FCSA #44C/RIVERVIEW ESTATES, CITY OF CLOVIS, FCSA #44D/MONTE VERDI, FCSA #39 A&B, COUNTRY VIEW ALZHEIMER CENTER, BIOLA COMMUNITY SERVICES DIST, FCSA #14/BELMONT MANOR, FCSA #47/QUAIL LAKE ESTATES, JUVENILE JUSTICE CAMPUS, KERMAN, CITY OF, SHADY LAKES MOBILE HOME PARK, DOUBLE L MOBILE RANCH PARK, FCWWD #42/ALLUVIAL & FANCHER, EASTON ESTATES WATER COMPANY, CALIFORNIA STATE UNIVERSITY FRESNO, BAKMAN WATER COMPANY, THREE PALMS MOBILEHOME PARK, DEL ORO WATER CO - METROPOLITAN DISTRICT, SUNSET WEST COMMUNITY LLC, ELM COURT, NEW HORIZONS MOBILE/RV PARK, SUNNYSIDE CONVALESCENT HOSP, WOODWARD BLUFFS MHP, GREEN ACRES MOBILE HOME ESTATE, PINEDALE COUNTY WATER DISTRICT",102,"FRESNO COUNTY SPORTSMEN'S CLUB, FCSA #10/CUMORAH KNOLLS, FRESNO CSA NO. 51 (DRY CREEK), SUMNER PECK RANCH WINERY & FRUIT STAND, FCWWD #18/FRIANT, MALAGA COUNTY WATER DISTRICT, CITY OF FRESNO, EASTON CSD, FCPG/LOST LAKE RECREATION AREA, PAPPAS & CO (COALINGA), BELMONT WATER CORPORATION, MADISON ELEMENTARY SCHOOL, FCSA #10A/MANSIONETTE ESTATES, BLUFF POINTE GOLF COURSE, TRINITY PRESBYTERIAN CHURCH, BELMONT COUNTRY CLUB, PAPPAS & CO (MENDOTA), FCSA #44C/RIVERVIEW ESTATES, CITY OF CLOVIS, FCSA #44D/MONTE VERDI, VULCAN MATERIALS COMPANY - FRIANT, WOLF LAKES PARK, FCSA #39 A&B, CALWEST RAIN - KERMAN, FRESNO POLICE TRAINING FACILITY, FRESNO CITY WASTEWATER PLANT, BLOSSOM TRAIL CAFE, FRESNO HMONG ALLIANCE CHURCH, COUNTRY VIEW ALZHEIMER CENTER, BIOLA COMMUNITY SERVICES DIST, GURDWARA GUR NANAK PARKASH - FRESNO, FCSA #14/BELMONT MANOR, ENGELMANN CELLARS, USA WASTE OF CALIFORNIA, FRESNO SOUTH JEHOVAH WITNESSES, WILD WATER ADVENTURES, TABERNACLE OF PRAISE CHURCH, MICHELSEN PACKAGING, MORAVIA WINES, KINGS RIVER PACKING, NEW HOPE COMMUNITY CHURCH, FCSA #47/QUAIL LAKE ESTATES, CENTRAL WEST ARTS CENTER, CARGILL MEAT SOLUTIONS CORPORATION, FAIRMONT SCHOOL, SHADY TRAILER PARK, QUAIL LAKE COMMUNITY CHURCH, RIVER RANCH RAISINS, ROOSEVELT ELEMENTARY SCHOOL, SJRP COKE HALLOWELL CENTER, THREE CROWNS INDUSTRIAL PARK, INC., TESSENDERLO KERLEY INC, TRI BORO FRUIT COMPANY, USED PALLET COMPANY, JUVENILE JUSTICE CAMPUS, HOUGHTON-KEARNEY SCHOOL, CENTRAL HIGH SCHOOL WEST, LONE STAR SCHOOL, SUN EMPIRE SCHOOL, CENTERVILLE SCHOOL, CHERRY AUCTION, FCPG/KEARNEY PARK, KERMAN, CITY OF, SHADY LAKES MOBILE HOME PARK, DOUBLE L MOBILE RANCH PARK, JOHNNY QUIK STORE #149, GOLDEN STATE VINTNERS, FCWWD #42/ALLUVIAL & FANCHER, EASTON ESTATES WATER COMPANY, CALIFORNIA STATE UNIVERSITY FRESNO, EASTON BRANCH LIBRARY, FCOE SCOUT ISLAND, HARVEST MISSIONARY BAPTIST CHURCH, BAKMAN WATER COMPANY, DOLLAR GENERAL STORE  #15320, DANTE CLUB OF FRESNO, COPPER RIVER COUNTRY CLUB, THREE PALMS MOBILEHOME PARK, EASTON AUTHORITY JPA, KINGDOM HALL OF JEHOVAH S WITNESSES, ROAD RUNNER FOOD AND FUEL, NEW LIFE COMMUNITY CHURCH, EASTON PRESBYTERIAN CHURCH, WASHINGTON COLONY SCHOOL, ST JUDE CATHOLIC CHURCH, THE WORSHIP CENTER EASTON, E&J GALLO WINERY, GODS FAMILY CHURCH, GRANDE HALL AT THE GARDENS, JOHNNY QUIK FOOD STORE #161, HOLLAND PARK WEST, DEL ORO WATER CO - METROPOLITAN DISTRICT, ORANGE CENTER SCHOOL, SAF-T-CAB, SUNSET WEST COMMUNITY LLC, ELM COURT, NEW HORIZONS MOBILE/RV PARK, SUNNYSIDE CONVALESCENT HOSP, WOODWARD BLUFFS MHP, GREEN ACRES MOBILE HOME ESTATE, BELMONT TEMPERANCE PROPERTY WATER SYSTEM, PINEDALE COUNTY WATER DISTRICT",447
"Salinas Valley Basin GSA - 180/400 Foot Aquifer",2,"Salinas city, Gonzales city",3,"Moss Landing CDP, Boronda CDP, Castroville CDP",28,"TASCO SPRECKELS WATER COMPANY, EL CAMINO WC INC, CWSC OAK HILLS, GONZALES, CITY OF, PEDRAZZI MWC, CWSC SALINAS HILLS, CASTROVILLE COMMUNITY SERVICES DISTRICT, PARADISE RD WS #21, BERRY DR WS #02, CWSC SALINAS, FOOTHILL WA, HIDDEN VALLEY WA, PARTINGTON RIDGE MWC, RIVER RD WS #25, HITCHCOCK RD WS #01, CAL AM WATER COMPANY - CHUALAR, ELKHORN RD WS #04, CORDA RD WS, LEAFWOOD COMMUNITY WA, PARADISE LAKE MUTUAL WATER CO., DESMOND RD WS #03, STRAWBERRY RD WS #06, HARBOR VIEW WA, MOSS LANDING HARBOR WS, DOLAN RD MWC, BAUMANN RD WS #01, GREEN ACRES WA, DEL MONTE FARMS RD WS #03",42,"TASCO SPRECKELS WATER COMPANY, EL CAMINO WC INC, CWSC OAK HILLS, GONZALES, CITY OF, PEDRAZZI MWC, MANZANITA PARK WS, COLOR SPOT NURSERY WS #01, CWSC SALINAS HILLS, CASTROVILLE COMMUNITY SERVICES DISTRICT, PARADISE RD WS #21, BERRY DR WS #02, CWSC SALINAS, MERIDIAN RD WS #09, COLOR SPOT NURSERY WS #02, CONUNDRUM WINERY WS, FOOTHILL WA, ESPERANZA RD WS, HIDDEN VALLEY WA, PARTINGTON RIDGE MWC, RIVER RD WS #25, HITCHCOCK RD WS #01, ELKHORN SCHOOL WS, CAL AM WATER COMPANY - CHUALAR, ELKHORN RD WS #04, HITCHCOCK RD WS #02, BUD ANTLE MARINA WS, ASSOCIATED TAGLINE WS, CORDA RD WS, LEAFWOOD COMMUNITY WA, PARADISE LAKE MUTUAL WATER CO., GONZALES  GAS STATION WS, GRAVES SCHOOL WS, GROWERS TRANSPLANTING WS, DESMOND RD WS #03, FIRESTONE BUSINESS PARK WS, STRAWBERRY RD WS #06, HARBOR VIEW WA, MOSS LANDING HARBOR WS, DOLAN RD MWC, BAUMANN RD WS #01, GREEN ACRES WA, DEL MONTE FARMS RD WS #03",102
"San Joaquin River Exchange Contractors Water Authority GSA",2,"Dos Palos city, Firebaugh city",6,"Dos Palos city, Crows Landing CDP, Firebaugh city, Santa Nella CDP, South Dos Palos CDP, Dos Palos Y CDP",8,"CROWS LANDING COMM SVC DISTRICT, FIREBAUGH CITY, VOLTA COMMUNITY SD, CITY OF NEWMAN-WATER DEPARTMENT, CITY OF DOS PALOS, LAS DELTAS MUTUAL WATER SYSTEM, EAST ACRES MUTUAL WATER COMPANY, MARQUEZ RENTAL",14,"CROWS LANDING COMM SVC DISTRICT, FIREBAUGH CITY, HAMLET MOTEL, VOLTA COMMUNITY SD, CITY OF NEWMAN-WATER DEPARTMENT, CITY OF DOS PALOS, LAS DELTAS MUTUAL WATER SYSTEM, EAST ACRES MUTUAL WATER COMPANY, JOHN B. SANFILIPPO & SON, INC., DOS PALOS Y AUCTION YARD, CHARLESTON SCHOOL, DASH DREAM PLANT, JAMES L. CUSTER/WALNUT GROVE APTS., MARQUEZ RENTAL",12
"Santa Cruz Mid-County Groundwater Agency GSA",2,"Capitola city, Santa Cruz city",NA,NA,8,"PURESOURCE WATER, INC, SANTA CRUZ WATER DEPARTMENT, JARVIS MUTUAL WATER SYSTEM, SOQUEL CREEK WATER DISTRICT, CATHEDRAL HILLS MWC, INC, CENTRAL WATER DISTRICT, TROUT GULCH MUTUAL WATER COMPANY, PINE TREE LANE MUTUAL WATER CO",17,"PURESOURCE WATER, INC, APTOS HIGH SCHOOL, SANTA CRUZ WATER DEPARTMENT, JARVIS MUTUAL WATER SYSTEM, SOQUEL CREEK WATER DISTRICT, CATHEDRAL HILLS MWC, INC, CENTRAL WATER DISTRICT, TROUT GULCH MUTUAL WATER COMPANY, MYSTERY SPOT SNACK SHACK, KENNOLYN CAMP, SEVENTH DAY ADVENTIST CAMP, LAND OF MEDICINE BUDDHA, MOUNTAIN ELEMENTARY SCHOOL, ENCHANTED VALLEY, PINE TREE LANE MUTUAL WATER CO, CAMP ST FRANCIS, CABRILLO COLLEGE",43
"South Fork Kings GSA",1,"Lemoore city",2,"Lemoore city, Stratford CDP",2,"LEMOORE, CITY OF, STRATFORD PUD",3,"LEMOORE, CITY OF, STRATFORD PUD, CENTRAL UNION ELEMENTARY",21
"South Kings GSA",4,"Fowler city, Kingsburg city, Parlier city, Sanger city",4,"Del Rey CDP, Parlier city, Fowler city, Sanger city",5,"DEL REY COMMUNITY SERV DIST, CITY OF FOWLER, KINGSBURG, CITY OF, CITY OF PARLIER, CITY OF SANGER",9,"DEL REY COMMUNITY SERV DIST, CITY OF FOWLER, KINGSBURG, CITY OF, DEL REY CSD WASTEWATER TREATMENT PLANT, CITY OF PARLIER, CITY OF SANGER, SUN MAID GROWERS OF CALIFORNIA, GUARDIAN INDUSTRIES LLC, VIKING RV PARK",43
"South San Joaquin GSA",2,"Escalon city, Ripon city",NA,NA,4,"SOUTH SAN JOAQUIN IRRIGATION DISTRICT, RIPON, CITY OF, ESCALON, CITY OF, SAN JOAQUIN COUNTY-RAYMUS VILLAGE",7,"WOODWARD RESERVOIR WATER SYSTEM, SOUTH SAN JOAQUIN IRRIGATION DISTRICT, RIPON, CITY OF, ESCALON, CITY OF, SAN JOAQUIN COUNTY-RAYMUS VILLAGE, MANTECA INDUSTRIAL PRK CSA-30, MUSD-NILE GARDEN SCHOOL",42
"West Kern Water District GSA",2,"Taft city, Maricopa city",8,"Maricopa city, McKittrick CDP, Tupman CDP, Taft city, Ford City CDP, South Taft CDP, Taft Heights CDP, Valley Acres CDP",1,"WEST KERN WATER DISTRICT",2,"AERA ENERGY-LLC, WEST KERN WATER DISTRICT",15
"Westlands Water District GSA",2,"Avenal city, Huron city",6,"Avenal city, Huron city, Lemoore Station CDP, Cantua Creek CDP, Three Rocks CDP, Westside CDP",21,"LINDA VISTA FARMS, HURON, CITY OF, BRITZ/FIVE POINT SYSTEM, LEMOORE NAVAL AIR STATION, WESTSIDE HARVESTING, FIVE POINTS RANCH, CANTUA CREEK VINEYARDS, IV, LLC., BRITZ/COLUSA, HARRIS FARMS SOUTH #101-144, FARMING D, AZCAL MANAGEMENT CO, HARRIS FARMS/HORSE BARN, FCSA #49/ FIVE POINTS, HARRIS FARMS HEADQUARTERS, HARRIS FEEDING COMPANY, FCSA #32/CANTUA CREEK, SUMNER PECK RANCH, MURRIETA/HERNANDEZ FARMS, TERRA LINDA FARMS, SAN ANDREAS FARMS, FCSA #30/EL PORVENIR",34,"LINDA VISTA FARMS, HURON, CITY OF, BRITZ/FIVE POINT SYSTEM, LEMOORE NAVAL AIR STATION, WONDERFUL PISTACHIOS & ALMONDS-EL DORADO, PANOCHE RANCH - FRANK LOGOLUSO FARMS, WESTSIDE HARVESTING, PILIBOS BROTHERS RANCH, BLACKBURN FAMILY IRREVOCABLE TRUST, COTTON WEST AG MANAGEMENT, FIVE POINTS RANCH, CANTUA CREEK VINEYARDS, IV, LLC., I-5 AND HWY 198 REST AREA, BRITZ/COLUSA, COIT RANCH CORPORATION, LOS GATOS TOMATO PRODUCTS, HARRIS FARMS SOUTH #101-144, WESTLANDS WATER DISTRICT, FARMING D, AZCAL MANAGEMENT CO, HARRIS FARMS/HORSE BARN, SOMMERVILLE ALMOND TREE OWNERS ASSN, COUTURE FARMS, FCSA #49/ FIVE POINTS, HARRIS RANCH RESTAURANT, HARRIS FARMS HEADQUARTERS, HARRIS FEEDING COMPANY, FCSA #32/CANTUA CREEK, SUMNER PECK RANCH, MURRIETA/HERNANDEZ FARMS, CASACA VINEYARDS, TERRA LINDA FARMS, SAN ANDREAS FARMS, FCSA #30/EL PORVENIR",9
"Alpaugh GSA",NA,NA,1,"Alpaugh CDP",1,"ALPAUGH COMMUNITY SERVICES DISTRICT",1,"ALPAUGH COMMUNITY SERVICES DISTRICT",2
"Borrego Valley GSA - Borrego Springs",NA,NA,1,"Borrego Springs CDP",1,"BORREGO WD",1,"BORREGO WD",14
"Buena Vista Water Storage District GSA",NA,NA,1,"Buttonwillow CDP",2,"BUTTONWILLOW CWD, MIRASOL COMPANY WATER SYSTEM",2,"BUTTONWILLOW CWD, MIRASOL COMPANY WATER SYSTEM",7
"Central Delta Water Agency GSA",NA,NA,1,"Terminous CDP",2,"LITTLE POTATO SLOUGH MUTUAL, KING ISLAND TRAILER PARK WATER SYSTEM",2,"LITTLE POTATO SLOUGH MUTUAL, KING ISLAND TRAILER PARK WATER SYSTEM",6
"Central Delta-Mendota GSA",NA,NA,2,"Santa Nella CDP, Tranquillity CDP",6,"VOLTA COMMUNITY SD, SAN LUIS HILLS, SANTA NELLA COUNTY WATER DISTRICT, PANOCHE WATER DISTRICT, TRANQUILLITY IRRIGATION DISTRICT, HAMMONDS RANCH",12,"I-5 AND PANOCHE DEVELOPMENT, CAL TRANS ERRECA REST AREA, VOLTA COMMUNITY SD, SAN LUIS HILLS, SANTA NELLA COUNTY WATER DISTRICT, PANOCHE WATER DISTRICT, TRANQUILLITY IRRIGATION DISTRICT, MERCEY SPRINGS SHELL, FIREBAUGH TRAVEL PLAZA (SW), PARREIRA ALMOND PROCESSING COMPANY, LLC, OLAM SPICES AND VEGETABLES, INC., HAMMONDS RANCH",8
"Central San Joaquin Water Conservation District GSA",NA,NA,1,"Farmington CDP",3,"SUNNY ROAD WATER SYSTEM, FARMINGTON WATER COMPANY, CENTURY MOBILE HOME PARK",3,"SUNNY ROAD WATER SYSTEM, FARMINGTON WATER COMPANY, CENTURY MOBILE HOME PARK",13
"County of Merced GSA - Delta-Mendota",NA,NA,1,"South Dos Palos CDP",1,"CITY OF DOS PALOS",3,"CITY OF DOS PALOS, USFWS SAN LUIS NWR COMPLEX, INGOMAR PACKING",10
"County of San Joaquin GSA - Eastern San Joaquin 1",NA,NA,2,"Farmington CDP, Thornton CDP",10,"V & P TRAILER COURT WATER SYSTEM, SAN JOAQUIN COUNTY - LINCOLN VILLAGE, RANCHO SAN JOAQUIN WATER SYS, SPRING CREEK ESTATES PWS, SAN JOAQUIN COUNTY - COLONIAL HEIGHTS, LODI LAKE MOBILE HOME PARK, NEW HOPE LANDING GENERAL STORE, RIVERSIDE MOBILE HOME PARK, SAN JOAQUIN COUNTY - THORNTON, WOODBRIDGE MOBILE ESTATES",10,"V & P TRAILER COURT WATER SYSTEM, SAN JOAQUIN COUNTY - LINCOLN VILLAGE, RANCHO SAN JOAQUIN WATER SYS, SPRING CREEK ESTATES PWS, SAN JOAQUIN COUNTY - COLONIAL HEIGHTS, LODI LAKE MOBILE HOME PARK, NEW HOPE LANDING GENERAL STORE, RIVERSIDE MOBILE HOME PARK, SAN JOAQUIN COUNTY - THORNTON, WOODBRIDGE MOBILE ESTATES",25
"County of San Joaquin GSA - Eastern San Joaquin 2",NA,NA,5,"Kennedy CDP, Taft Mosswood CDP, Garden Acres CDP, Country Club CDP, August CDP",5,"CALIFORNIA WATER SERVICE - STOCKTON, HESKETT, JOE WATER SYSTEM, BIG WHEEL MOBILE HOME PARK, SAHARA MOBILE COURT, MOBILE VILLAS TRAILER PARK",5,"CALIFORNIA WATER SERVICE - STOCKTON, HESKETT, JOE WATER SYSTEM, BIG WHEEL MOBILE HOME PARK, SAHARA MOBILE COURT, MOBILE VILLAS TRAILER PARK",23
"County of San Luis Obispo GSA - Paso Robles Area",NA,NA,1,"Creston CDP",6,"MUSTANG SPRINGS MUTUAL WATER, SLO CSA NO. 16 - SHANDON, SANTA YSABEL RANCH MWC, GREEN RIVER MUTUAL WATER CO., RANCHO SALINAS  MBWC, SPANISH LAKES MUTUAL WATER CO",9,"CAMP ROBERTS WELL 6A, MUSTANG SPRINGS MUTUAL WATER, CAMP ROBERTS - CALIFORNIA NATIONAL GUARD, SLO CSA NO. 16 - SHANDON, SANTA YSABEL RANCH MWC, GREEN RIVER MUTUAL WATER CO., RANCHO SALINAS  MBWC, SPANISH LAKES MUTUAL WATER CO, PLEASANT VALLEY ELEMENTARY",24
"Cuyama Basin GSA",NA,NA,2,"Cuyama CDP, New Cuyama CDP",1,"CUYAMA COMMUNITY SERVICES DISTRICT",2,"CUYAMA COMMUNITY SERVICES DISTRICT, CUYAMA MUTUAL WATER CO.",8
"Delano-Earlimart Irrigation District GSA",NA,NA,3,"Rodriguez Camp CDP, Richgrove CDP, Earlimart CDP",4,"RICHGROVE COMMUNITY SERVICES DISTRICT, EARLIMART PUD, SIERRA VISTA ASSN, RODRIGUEZ LABOR CAMP",6,"RICHGROVE COMMUNITY SERVICES DISTRICT, EARLIMART PUD, SIERRA VISTA ASSN, APTCO LLC, RODRIGUEZ LABOR CAMP, DELANO GROWERS GRAPE PRODUCTS",18
"DM-II GSA",NA,NA,2,"Santa Nella CDP, Crows Landing CDP",1,"SANTA NELLA COUNTY WATER DISTRICT",10,"SANTA NELLA COUNTY WATER DISTRICT, DEPARTMENT OF TRANSPORTATION, RBVON, SUN DRY PRODUCTS-WATER, CALIFORNIA TRANSPLANTS LLC, WESTLEY PROPERTY LLC, JOE'S TRAVEL PLAZA (EH), THE MORNING STAR COMPANY, EASTIN, TRIANGLE TRUCK STOP (WATER)",9
"Fillmore and Piru Basins GSA - Piru",NA,NA,1,"Piru CDP",2,"WARRING WATER SERVICE INC, RANCHO SESPE WORKERS IMP ASSOC",2,"WARRING WATER SERVICE INC, RANCHO SESPE WORKERS IMP ASSOC",4
"Greenfield County Water District GSA",NA,NA,1,"Greenfield CDP",1,"GREENFIELD COUNTY WD",1,"GREENFIELD COUNTY WD",5
"Lockeford Community Service District GSA",NA,NA,1,"Lockeford CDP",3,"LOCKEFORD COMMUNITY SERV. DIST., DOUBLE L MOBILE ESTATES, LOCKEFORD MOBILE HOME PARK WTR SYS",3,"LOCKEFORD COMMUNITY SERV. DIST., DOUBLE L MOBILE ESTATES, LOCKEFORD MOBILE HOME PARK WTR SYS",8
"Lower Tule River Irrigation District GSA",NA,NA,3,"Poplar-Cotton Center CDP, Tipton CDP, Woodville CDP",5,"POPLAR COMM SERVICE DIST, WOODVILLE PUBLIC UTILITY DIST, WOODVILLE FARM LABOR CENTER, TIPTON COMMUNITY SERVICES DIST, WILLIAMS MUTUAL  WATER CO",7,"UC DAVIS-SCHOOL OF VET. MED., POPLAR COMM SERVICE DIST, WOODVILLE PUBLIC UTILITY DIST, WOODVILLE FARM LABOR CENTER, CALIFORNIA DAIRIES INC TIPTON, TIPTON COMMUNITY SERVICES DIST, WILLIAMS MUTUAL  WATER CO",24
"Madera Irrigation District GSA",NA,NA,4,"La Vina CDP, Fairmead CDP, Parksdale CDP, Parkwood CDP",6,"MADERA CO SA3-PARKSDALE, MADERA CO SA16 SUMNER HILL-WATER SYSTEM, MADERA CO CMD19-PARKWOOD, MD 36 EASTIN ARCOLA, MD 28 RIPPERDAN SELF HELP, MD 37 LA VINA",6,"MADERA CO SA3-PARKSDALE, MADERA CO SA16 SUMNER HILL-WATER SYSTEM, MADERA CO CMD19-PARKWOOD, MD 36 EASTIN ARCOLA, MD 28 RIPPERDAN SELF HELP, MD 37 LA VINA",49
"McMullin Area GSA",NA,NA,1,"Raisin City CDP",2,"FCSA #43/RAISIN CITY, RAU DAIRY",9,"LARRY A SHEHADEY DAIRY, FCSA #43/RAISIN CITY, BAKER COMMODITIES INC., CENTRAL CA ALMOND GROWERS ASSN, HOLLAND HULLING COMPANY, JOHANN DAIRY, LONE OAK DAIRY #2, RAU DAIRY, BATTH DEHYDRATOR",6
"Merced Subbasin GSA",NA,NA,3,"Stevinson CDP, University of California-Merced CDP, Le Grand CDP",2,"CASTLE AIRPORT, JOHN LATORACCA CORRECTIONAL FACILITY",15,"MERCED GOLF & COUNTRY CLUB, CASTLE AIRPORT, CDPR-MCCONNELL, MINTURN HULLER, E & J GALLO WINERY, STEVINSON RANCH MAINT. SHOP/THE GROVE, FOSTER FARMS FERTILIZER PLANT, MINTURN NUT CO., INC., 4 STOP DELI-MARKET, YOSEMITE VALLEY BEEF PACKING CO INC, MERQUIN ELEMENTARY SCHOOL, PLAINSBURG ELEMENTARY SCHOOL, STEVINSON BAR AND GRILL, HAGAMAN COUNTY PARK, JOHN LATORACCA CORRECTIONAL FACILITY",23
"North Fork Kings GSA",NA,NA,3,"Lanare CDP, Laton CDP, Riverdale CDP",9,"BRITZ/FIVE POINT SYSTEM, LINDA VISTA FARMS, LATON COMMUNITY SERVICES DISTRICT, CAMDEN TRAILER PARK, LANARE COMMUNITY SERVICES DIST, ZONNEVELD DAIRY - CERINI, HELM SCHOOL, ZONNEVELD DAIRY - CEDAR, RIVERDALE PUBLIC UTILITY DISTRICT",16,"BRITZ/FIVE POINT SYSTEM, LINDA VISTA FARMS, J R SIMPLOT COMPANY, JR SIMPLOT CO, LATON COMMUNITY SERVICES DISTRICT, TRUE ORGANIC PRODUCTS, CAMDEN TRAILER PARK, LANARE COMMUNITY SERVICES DIST, SOUTHWEST TRANSPORTATION AGENCY, ZONNEVELD DAIRY - CERINI, HELM SCHOOL, BURREL UNION ELEMENTARY SCHOOL, ZONNEVELD DAIRY - CEDAR, ISLAND UNION SCHOOL, RIVERDALE PUBLIC UTILITY DISTRICT, LATON HIGH SCHOOL",20
"North San Joaquin Water Conservation District GSA",NA,NA,3,"Victor CDP, Lockeford CDP, Collierville CDP",17,"WINE COUNTRY APARTMENTS, ARBOR MOBILE HOME PARK WS, SAN JOAQUIN WATER WORKS #2, CLEMENTS WATER WORKS #43, MOKELUMNE MOBILE SENIOR PARK, HAYNES BOARD & CARE HOME, ACAMPO WATER SYSTEM, ENCLAVE AT THE DELTA, TWIN OAKS MOBILE PARK, WAYSIDE MOTEL APARTMENTS WTR SYS, COUNTRY CLUB VISTA MUTUAL WATER CO, HANOT FOUNDATION INC, VILLA CEREZOS, B&G MOBILE HOME PARK LLC WS, LODI HOMES, FAIRWAY ESTATES PWS CSA-18, COUNTRY MANOR MHP",17,"WINE COUNTRY APARTMENTS, ARBOR MOBILE HOME PARK WS, SAN JOAQUIN WATER WORKS #2, CLEMENTS WATER WORKS #43, MOKELUMNE MOBILE SENIOR PARK, HAYNES BOARD & CARE HOME, ACAMPO WATER SYSTEM, ENCLAVE AT THE DELTA, TWIN OAKS MOBILE PARK, WAYSIDE MOTEL APARTMENTS WTR SYS, COUNTRY CLUB VISTA MUTUAL WATER CO, HANOT FOUNDATION INC, VILLA CEREZOS, B&G MOBILE HOME PARK LLC WS, LODI HOMES, FAIRWAY ESTATES PWS CSA-18, COUNTRY MANOR MHP",47
"Northwestern Delta-Mendota GSA",NA,NA,1,"Grayson CDP",5,"CITY OF NEWMAN-WATER DEPARTMENT, CROWS LANDING COMM SVC DISTRICT, MARTIN'S MOBILE HOME COURT, FISHERMAN'S BEND MHP, BUEHNER HOUSES",13,"CITY OF NEWMAN-WATER DEPARTMENT, SUN DRY PRODUCTS-WATER, HAMLET MOTEL, SAN JOAQUIN VALLEY NATIONAL CEMETERY, DEPARTMENT OF TRANSPORTATION, CROWS LANDING COMM SVC DISTRICT, CEBRO FROZEN FOODS (EH), CATFISH CAMP, MARTIN'S MOBILE HOME COURT, FISHERMAN'S BEND MHP, COVANTA STANISLAUS WASTE ENERGY FACILITY, BUEHNER HOUSES, FILBIN LAND & CATTLE CO",13
"Oakdale Irrigation District GSA",NA,NA,1,"Valley Home CDP",2,"NORTH OAKS MUTUAL WATER CO, 4N MOBILEHOME PARK",14,"ORANGE BLOSSOM RECREATION AREA, WOODWARD RESERVOIR WATER SYSTEM, NORTH OAKS MUTUAL WATER CO, RIVER OAK GRACE-WATER SYSTEM, OAKDALE CHEESE & SPECIALTIES, KINGDOM HALL JEHOVAH WITNESS, VALLEY HOME SCHOOL TEXAS, SHIVELY'S BAR & GRILL, PIONEER EQUINE HOSPITAL WATER SYSTEM, VALLEY HOME SCHOOL PIONEER, RIVER ROAD PLAZA, WHISKEY RIVER SALOON, SHADY LAWN FARM (SUMMER  CAMP), 4N MOBILEHOME PARK",22
"Pixley Irrigation District GSA",NA,NA,2,"Pixley CDP, Teviston CDP",2,"TEVISTON CSD, PIXLEY PUBLIC UTIL DIST",3,"CALGREN RENEWABLE FUELS, TEVISTON CSD, PIXLEY PUBLIC UTIL DIST",9
"San Miguel Community Services District GSA",NA,NA,1,"San Miguel CDP",1,"SAN MIGUEL COMMUNITY SERVICES DISTRICT",1,"SAN MIGUEL COMMUNITY SERVICES DISTRICT",3
"Semitropic Water Storage District GSA",NA,NA,2,"Lost Hills CDP, Buttonwillow CDP",NA,NA,1,"INTERSTATE 5 UILITY COMPANY",12
"Stockton East Water District GSA",NA,NA,2,"Kennedy CDP, French Camp CDP",25,"SAN JOAQUIN COUNTY - WILKINSON MANOR, V & P TRAILER COURT WATER SYSTEM, WILKINSON MANOR A-ZONE PWS, ELKHORN ESTATES WATER SYSTEM, MORADA ESTATES N PWS #46, COUNTRY SQUIRE MOBILE ESTATES & WATER SY, CARIBOU MOBILE PARK PWS, FINNLEES TRAILER PARK, CHERRY LANE TRAILER PARK, GLENWOOD MOBILE HOME PARK, WALNUT ACRES, MORADA MANOR WATER SYSTEM, GAYLA MANOR PWS, STOCKTON EAST WATER DISTRICT, MORADA ESTATES PWS, TAHAMA VILLAGE MOBILE HOME PARK, BEL AIR MOBILE ESTATE, MAPACHE TRAILER PARK, MORADA ACRES WATER SYSTEM, EL RIO MOBILE HOME PARK, ALMOND PARK WATER SYSTEM, A1 WINSTONS MOBILE HOME PARK, SHADY REST TRAILER COURT, STOCKTON VERDE MOBILE HOME PARK, SHADED TERRACE PWS",25,"SAN JOAQUIN COUNTY - WILKINSON MANOR, V & P TRAILER COURT WATER SYSTEM, WILKINSON MANOR A-ZONE PWS, ELKHORN ESTATES WATER SYSTEM, MORADA ESTATES N PWS #46, COUNTRY SQUIRE MOBILE ESTATES & WATER SY, CARIBOU MOBILE PARK PWS, FINNLEES TRAILER PARK, CHERRY LANE TRAILER PARK, GLENWOOD MOBILE HOME PARK, WALNUT ACRES, MORADA MANOR WATER SYSTEM, GAYLA MANOR PWS, STOCKTON EAST WATER DISTRICT, MORADA ESTATES PWS, TAHAMA VILLAGE MOBILE HOME PARK, BEL AIR MOBILE ESTATE, MAPACHE TRAILER PARK, MORADA ACRES WATER SYSTEM, EL RIO MOBILE HOME PARK, ALMOND PARK WATER SYSTEM, A1 WINSTONS MOBILE HOME PARK, SHADY REST TRAILER COURT, STOCKTON VERDE MOBILE HOME PARK, SHADED TERRACE PWS",94
